iter	Passed	Remaining
0	0	43
1	0	41
2	1	42
3	1	38
4	2	38
5	2	38
6	2	38
7	3	40
8	3	40
9	4	40
10	4	39
11	5	39
12	5	38
13	7	44
14	7	43
15	8	42
16	8	41
17	8	40
18	9	40
19	9	39
20	10	38
21	10	38
22	11	37
23	11	37
24	12	36
25	12	36
26	13	35
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	16	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	23	23
49	23	23
50	23	23
51	24	22
52	24	22
53	25	21
54	25	20
55	26	20
56	26	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	13
71	34	13
72	35	12
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	42	4
90	43	4
91	43	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
