iter	Passed	Remaining
0	46	46615
1	47	23492
2	48	16144
3	49	12306
4	49	9913
5	50	8322
6	50	7178
7	50	6318
8	51	5649
9	51	5117
10	52	4682
11	52	4316
12	52	4010
13	53	3750
14	53	3529
15	54	3329
16	54	3151
17	54	2993
18	55	2851
19	55	2725
20	55	2609
21	56	2505
22	56	2409
23	57	2322
24	57	2243
25	57	2169
26	58	2102
27	58	2038
28	59	1980
29	59	1923
30	59	1871
31	60	1823
32	60	1777
33	61	1733
34	61	1692
35	61	1653
36	62	1617
37	62	1582
38	62	1548
39	63	1517
40	63	1487
41	63	1458
42	64	1431
43	64	1405
44	65	1381
45	65	1357
46	65	1334
47	66	1313
48	66	1292
49	67	1273
50	67	1254
51	67	1236
52	68	1218
53	68	1201
54	68	1185
55	69	1169
56	69	1155
57	70	1140
58	70	1126
59	71	1113
60	71	1100
61	71	1088
62	72	1076
63	73	1070
64	73	1059
65	74	1049
66	74	1038
67	74	1026
68	75	1016
69	75	1005
70	76	995
71	76	986
72	76	976
73	77	967
74	77	958
75	78	949
76	78	941
77	79	934
78	79	926
79	79	918
80	80	911
81	80	904
82	80	894
83	81	887
84	81	881
85	82	874
86	82	867
87	83	860
88	83	854
89	83	847
90	84	841
91	84	836
92	85	830
93	85	824
94	85	818
95	86	812
96	86	808
97	87	803
98	87	797
99	88	792
100	88	787
101	88	782
102	89	777
103	89	773
104	90	768
105	90	763
106	90	759
107	91	754
108	91	750
109	92	746
110	92	742
111	93	738
112	93	734
113	94	730
114	94	729
115	95	730
116	96	725
117	96	721
118	98	728
119	98	724
120	99	724
121	99	719
122	100	717
123	101	713
124	101	710
125	101	706
126	102	702
127	102	698
128	105	710
129	106	712
130	107	712
131	107	708
132	108	705
133	109	707
134	110	707
135	111	707
136	111	703
137	113	707
138	114	707
139	114	704
140	116	707
141	116	706
142	117	706
143	119	707
144	119	704
145	120	706
146	121	707
147	122	707
148	123	707
149	124	704
150	124	700
151	125	698
152	125	694
153	126	692
154	126	689
155	126	686
156	127	684
157	127	681
158	128	679
159	128	677
160	129	673
161	129	670
162	130	668
163	130	665
164	130	662
165	131	659
166	131	657
167	132	655
168	132	652
169	133	650
170	133	647
171	134	646
172	134	643
173	135	641
174	135	639
175	136	636
176	136	634
177	136	631
178	137	631
179	138	629
180	138	626
181	138	624
182	139	622
183	139	619
184	140	617
185	140	615
186	141	613
187	141	611
188	142	609
189	142	607
190	142	605
191	143	603
192	143	601
193	144	599
194	144	596
195	145	595
196	145	592
197	145	591
198	146	589
199	146	587
200	147	585
201	147	583
202	148	582
203	148	580
204	149	578
205	149	576
206	150	575
207	150	573
208	150	571
209	151	569
210	151	567
211	152	566
212	152	564
213	153	562
214	153	560
215	154	559
216	154	557
217	155	556
218	155	554
219	156	553
220	156	551
221	156	549
222	157	548
223	157	546
224	158	545
225	158	543
226	159	542
227	159	540
228	160	539
229	160	537
230	161	536
231	161	534
232	161	533
233	162	531
234	162	530
235	163	528
236	163	527
237	164	526
238	164	524
239	165	523
240	165	521
241	166	520
242	166	518
243	166	517
244	167	515
245	168	516
246	169	516
247	171	518
248	171	518
249	172	517
250	173	516
251	173	515
252	173	513
253	174	512
254	174	510
255	175	509
256	175	508
257	176	506
258	176	505
259	177	504
260	177	502
261	177	501
262	178	500
